date,flu symptoms,fever,shortness of breath
2014-08-31,3,60,4
2014-09-07,4,58,4
2014-09-14,5,58,3
2014-09-21,6,59,3
2014-09-28,7,61,4
2014-10-05,9,62,4
2014-10-12,10,69,4
2014-10-19,10,64,4
2014-10-26,8,62,4
2014-11-02,8,60,3
2014-11-09,8,62,3
2014-11-16,9,60,3
2014-11-23,10,57,3
2014-11-30,13,62,3
2014-12-07,17,64,3
2014-12-14,26,76,3
2014-12-21,33,86,4
2014-12-28,39,79,4
2015-01-04,33,71,4
2015-01-11,27,71,3
2015-01-18,27,76,4
2015-01-25,22,74,4
2015-02-01,18,74,3
2015-02-08,15,68,4
2015-02-15,14,68,4
2015-02-22,11,74,4
2015-03-01,11,71,4
2015-03-08,10,81,4
2015-03-15,9,83,4
2015-03-22,8,76,4
2015-03-29,7,72,4
2015-04-05,8,73,4
2015-04-12,9,68,4
2015-04-19,7,65,4
2015-04-26,6,64,4
2015-05-03,5,66,3
2015-05-10,4,62,4
2015-05-17,4,61,4
2015-05-24,4,67,3
2015-05-31,4,63,4
2015-06-07,4,59,4
2015-06-14,3,54,4
2015-06-21,3,61,4
2015-06-28,3,57,4
2015-07-05,3,55,4
2015-07-12,3,58,4
2015-07-19,3,54,4
2015-07-26,3,57,4
2015-08-02,3,59,4
2015-08-09,3,60,4
2015-08-16,3,56,4
2015-08-23,3,56,4
2015-08-30,4,58,4
2015-09-06,4,59,3
2015-09-13,5,61,3
2015-09-20,6,63,4
2015-09-27,7,64,4
2015-10-04,7,63,4
2015-10-11,8,62,4
2015-10-18,8,62,4
2015-10-25,8,61,4
2015-11-01,8,69,4
2015-11-08,8,63,4
2015-11-15,8,64,4
2015-11-22,8,62,3
2015-11-29,9,65,3
2015-12-06,9,70,3
2015-12-13,8,74,3
2015-12-20,10,72,4
2015-12-27,9,69,4
2016-01-03,10,68,4
2016-01-10,8,69,4
2016-01-17,8,69,4
2016-01-24,9,74,4
2016-01-31,8,75,4
2016-02-07,9,80,4
2016-02-14,11,84,4
2016-02-21,14,81,4
2016-02-28,16,87,4
2016-03-06,16,86,4
2016-03-13,13,80,4
2016-03-20,11,75,4
2016-03-27,9,73,4
2016-04-03,9,69,4
2016-04-10,8,71,4
2016-04-17,8,69,4
2016-04-24,6,66,4
2016-05-01,6,65,4
2016-05-08,5,74,4
2016-05-15,5,64,4
2016-05-22,4,66,4
2016-05-29,4,68,4
2016-06-05,3,64,4
2016-06-12,3,61,3
2016-06-19,3,61,4
