,year,_113_cause_name,cause_name,state,deaths,aadr
9407,2001,Malignant neoplasms (C00-C97),Cancer,Oklahoma,7411,206.3
9408,2004,Malignant neoplasms (C00-C97),Cancer,District of Columbia,1152,206.4
9409,2000,Malignant neoplasms (C00-C97),Cancer,Rhode Island,2433,206.4
9410,1999,Malignant neoplasms (C00-C97),Cancer,Massachusetts,13853,206.4
9411,2006,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Maryland,11268,206.6
9412,2000,Malignant neoplasms (C00-C97),Cancer,Georgia,13690,206.7
9413,1999,Malignant neoplasms (C00-C97),Cancer,Nevada,3556,206.7
9414,1999,Malignant neoplasms (C00-C97),Cancer,Oklahoma,7312,206.7
9415,2006,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,South Carolina,9030,206.8
9416,2008,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Ohio,27324,206.9
9417,2000,Malignant neoplasms (C00-C97),Cancer,New Hampshire,2484,206.9
9418,2001,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Idaho,2489,207.0
9419,2000,Malignant neoplasms (C00-C97),Cancer,Pennsylvania,30161,207.0
9420,2001,Malignant neoplasms (C00-C97),Cancer,Missouri,12365,207.1
9421,1999,Malignant neoplasms (C00-C97),Cancer,North Carolina,15815,207.1
9422,2000,Malignant neoplasms (C00-C97),Cancer,Massachusetts,14027,207.2
9423,2015,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Tennessee,15730,207.3
9424,2001,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Arizona,10588,207.3
9425,2005,Malignant neoplasms (C00-C97),Cancer,West Virginia,4617,207.4
9426,2000,Malignant neoplasms (C00-C97),Cancer,Oklahoma,7402,207.4
9427,2003,Malignant neoplasms (C00-C97),Cancer,Indiana,12933,207.5
9428,2005,Malignant neoplasms (C00-C97),Cancer,Arkansas,6361,207.7
9429,2014,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,District of Columbia,1324,207.8
9430,2008,Malignant neoplasms (C00-C97),Cancer,Kentucky,9589,207.8
9431,2003,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Wisconsin,12479,207.9
9432,2002,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Arizona,10852,207.9
9433,1999,Malignant neoplasms (C00-C97),Cancer,Missouri,12186,207.9
9434,2012,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,West Virginia,4942,208.1
9435,2004,Malignant neoplasms (C00-C97),Cancer,Tennessee,12586,208.1
9436,2012,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Kentucky,10024,208.2
9437,2007,Malignant neoplasms (C00-C97),Cancer,District of Columbia,1169,208.2
9438,2003,Malignant neoplasms (C00-C97),Cancer,Alabama,9812,208.2
9439,2000,Malignant neoplasms (C00-C97),Cancer,Alaska,704,208.2
9440,2010,Malignant neoplasms (C00-C97),Cancer,Kentucky,9930,208.3
9441,2004,Malignant neoplasms (C00-C97),Cancer,Delaware,1827,208.3
9442,2002,Malignant neoplasms (C00-C97),Cancer,Alabama,9698,208.3
9443,2001,Malignant neoplasms (C00-C97),Cancer,Maine,3045,208.3
9444,2001,Malignant neoplasms (C00-C97),Cancer,South Carolina,8272,208.3
9445,2001,Malignant neoplasms (C00-C97),Cancer,Ohio,24804,208.4
9446,2006,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Illinois,27007,208.5
9447,2005,Malignant neoplasms (C00-C97),Cancer,Louisiana,9249,208.6
9448,2004,Malignant neoplasms (C00-C97),Cancer,Arkansas,6304,208.6
9449,2000,Malignant neoplasms (C00-C97),Cancer,Virginia,13528,208.6
9450,2004,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Florida,47160,208.7
9451,2001,Malignant neoplasms (C00-C97),Cancer,Arkansas,6092,208.8
9452,2005,Malignant neoplasms (C00-C97),Cancer,Mississippi,6065,208.9
9453,2004,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,California,64999,209.0
9454,2002,Malignant neoplasms (C00-C97),Cancer,Ohio,25173,209.0
9455,1999,Malignant neoplasms (C00-C97),Cancer,Virginia,13365,209.1
9456,1999,Malignant neoplasms (C00-C97),Cancer,New Jersey,18178,209.3
9457,1999,Malignant neoplasms (C00-C97),Cancer,Maryland,10143,209.5
9458,1999,Malignant neoplasms (C00-C97),Cancer,Pennsylvania,30312,209.5
9459,2002,Malignant neoplasms (C00-C97),Cancer,Indiana,12865,209.7
9460,2000,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Washington,11370,209.7
9461,2000,Malignant neoplasms (C00-C97),Cancer,Maryland,10290,209.7
9462,2004,Malignant neoplasms (C00-C97),Cancer,Mississippi,5983,209.8
9463,2011,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Kentucky,9905,210.0
9464,2011,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,West Virginia,4914,210.1
9465,2010,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Kentucky,9662,210.1
9466,2003,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,South Dakota,1943,210.2
9467,2005,Malignant neoplasms (C00-C97),Cancer,Tennessee,12995,210.3
9468,1999,Malignant neoplasms (C00-C97),Cancer,Rhode Island,2463,210.3
9469,2006,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Pennsylvania,33744,210.4
9470,2004,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Virginia,14284,210.4
9471,1999,Malignant neoplasms (C00-C97),Cancer,Illinois,25024,210.4
9472,2006,Malignant neoplasms (C00-C97),Cancer,District of Columbia,1178,210.5
9473,2000,Malignant neoplasms (C00-C97),Cancer,Arkansas,6090,210.5
9474,2002,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Maine,3170,210.6
9475,2003,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Iowa,7840,210.9
9476,1999,Malignant neoplasms (C00-C97),Cancer,Alabama,9506,210.9
9477,2010,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,West Virginia,4897,211.2
9478,2003,Malignant neoplasms (C00-C97),Cancer,West Virginia,4610,211.6
9479,2016,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,District of Columbia,1375,211.7
9480,2005,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,North Carolina,17765,211.7
9481,2000,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Alaska,607,211.7
9482,1999,Malignant neoplasms (C00-C97),Cancer,South Carolina,8089,211.7
9483,2001,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Wyoming,985,211.9
9484,2001,Malignant neoplasms (C00-C97),Cancer,Indiana,12831,211.9
9485,2007,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Georgia,16184,212.0
9486,2006,Malignant neoplasms (C00-C97),Cancer,Kentucky,9394,212.0
9487,2002,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Vermont,1370,212.0
9488,2001,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Nebraska,4150,212.0
9489,2000,Malignant neoplasms (C00-C97),Cancer,Illinois,25365,212.0
9490,2000,Malignant neoplasms (C00-C97),Cancer,Ohio,24988,212.0
9491,2015,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Louisiana,10665,212.1
9492,2002,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,South Dakota,1937,212.1
9493,2004,Malignant neoplasms (C00-C97),Cancer,West Virginia,4694,212.2
9494,2003,Malignant neoplasms (C00-C97),Cancer,Mississippi,5960,212.2
9495,2001,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,North Dakota,1700,212.3
9496,2011,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Louisiana,9781,212.4
9497,2000,Malignant neoplasms (C00-C97),Cancer,South Carolina,8250,212.6
9498,2006,Malignant neoplasms (C00-C97),Cancer,Mississippi,6236,212.7
9499,2003,Malignant neoplasms (C00-C97),Cancer,Tennessee,12613,212.7
9500,2002,Malignant neoplasms (C00-C97),Cancer,Arkansas,6282,212.8
9501,2000,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,North Dakota,1679,212.8
9502,2012,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,District of Columbia,1298,213.0
9503,2001,Malignant neoplasms (C00-C97),Cancer,Alabama,9801,213.0
9504,2016,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Louisiana,10943,213.1
9505,2012,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Louisiana,10074,213.1
9506,2001,Malignant neoplasms (C00-C97),Cancer,Tennessee,12229,213.1
9507,2009,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,New York,47283,213.2
9508,2013,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,District of Columbia,1340,213.5
9509,2001,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Massachusetts,15144,213.5
9510,2000,Malignant neoplasms (C00-C97),Cancer,Maine,3070,213.6
9511,2000,Malignant neoplasms (C00-C97),Cancer,Nevada,3763,213.6
9512,2011,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Arkansas,7168,213.8
9513,1999,Malignant neoplasms (C00-C97),Cancer,Tennessee,11943,213.9
9514,2000,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Arizona,10584,214.0
9515,2013,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Arkansas,7377,214.1
9516,2013,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Louisiana,10346,214.1
9517,1999,Malignant neoplasms (C00-C97),Cancer,Arkansas,6137,214.1
9518,2009,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Kentucky,9728,214.3
9519,2017,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Louisiana,11260,214.4
9520,2002,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Wyoming,1005,214.5
9521,2002,Malignant neoplasms (C00-C97),Cancer,Tennessee,12518,214.6
9522,1999,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Montana,2049,214.6
9523,1999,Malignant neoplasms (C00-C97),Cancer,Maine,3035,214.6
9524,2007,Malignant neoplasms (C00-C97),Cancer,Kentucky,9692,214.7
9525,2003,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Kansas,6491,214.7
9526,2000,Malignant neoplasms (C00-C97),Cancer,Indiana,12842,214.7
9527,2002,Malignant neoplasms (C00-C97),Cancer,Maine,3206,214.9
9528,2004,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,North Carolina,17607,215.2
9529,2002,Malignant neoplasms (C00-C97),Cancer,West Virginia,4652,215.2
9530,2000,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Idaho,2519,215.2
9531,2000,Malignant neoplasms (C00-C97),Cancer,Alabama,9807,215.4
9532,1999,Malignant neoplasms (C00-C97),Cancer,Ohio,25233,215.4
9533,2004,Malignant neoplasms (C00-C97),Cancer,Kentucky,9159,215.5
9534,2002,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Nebraska,4242,215.5
9535,1999,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Washington,11515,215.7
9536,2014,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Louisiana,10647,216.3
9537,2004,Malignant neoplasms (C00-C97),Cancer,Louisiana,9434,216.3
9538,2009,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Tennessee,14257,216.5
9539,2003,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,New Hampshire,2725,216.7
9540,2005,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,United States,652091,216.8
9541,2001,Malignant neoplasms (C00-C97),Cancer,Mississippi,5958,217.1
9542,2000,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Nebraska,4197,217.1
9543,2003,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Florida,48141,217.3
