,KIE,PJP,XBI,XLV
2010-01-04,8.816061973571777,15.276191711425781,17.483266830444336,23.879526138305664
2010-01-05,8.922969818115234,15.179198265075684,17.550630569458008,23.645343780517578
2010-01-06,8.94534683227539,15.163037300109863,17.784809112548828,23.887086868286133
2010-01-07,9.082086563110352,15.187280654907227,17.784809112548828,23.970190048217773
2010-01-08,9.057228088378906,15.20344352722168,17.865007400512695,24.00795555114746
2010-01-11,9.097001075744629,15.348934173583984,17.96124839782715,24.143936157226562
2010-01-12,9.037335395812988,15.22768783569336,17.73348045349121,23.970190048217773
2010-01-13,9.1367826461792,15.41359806060791,17.993322372436523,24.287466049194336
2010-01-14,9.171590805053711,15.55099868774414,18.00615119934082,24.506547927856445
2010-01-15,9.049768447875977,15.41359806060791,17.6917724609375,24.340349197387695
2010-01-19,9.20639705657959,15.720727920532227,18.092769622802734,24.929601669311523
2010-01-20,9.131815910339355,15.664155960083008,17.993322372436523,24.71807289123535
2010-01-21,8.935400009155273,15.26810359954834,17.69819450378418,24.181713104248047
2010-01-22,8.721588134765625,15.033713340759277,17.666112899780273,23.917301177978516
2010-01-25,8.813581466674805,15.033713340759277,17.592334747314453,23.917301177978516
2010-01-26,8.811091423034668,15.074129104614258,17.714231491088867,23.781322479248047
2010-01-27,8.93789005279541,15.22768783569336,17.958038330078125,23.947525024414062
2010-01-28,8.816061973571777,15.090291976928711,17.701398849487305,23.796436309814453
2010-01-29,8.768824577331543,15.049875259399414,17.73348045349121,23.630239486694336
2010-02-01,8.873245239257812,15.098374366760254,17.919546127319336,23.766212463378906
2010-02-02,9.049768447875977,15.30852222442627,18.426393508911133,24.25724983215332
2010-02-03,8.915507316589355,15.20344352722168,18.48733901977539,23.932418823242188
2010-02-04,8.59727954864502,14.74273681640625,17.63724708557129,23.328060150146484
2010-02-05,8.656949043273926,14.823561668395996,17.617990493774414,23.29029083251953
2010-02-08,8.515236854553223,14.750815391540527,17.476844787597656,23.176969528198242
2010-02-09,8.622138023376465,14.815483093261719,17.6917724609375,23.3582763671875
2010-02-10,8.664406776428223,14.783146858215332,17.64365577697754,23.214744567871094
2010-02-11,8.70418643951416,14.96904468536377,17.935585021972656,23.37339210510254
2010-02-12,8.756391525268555,14.96904468536377,18.18580436706543,23.320507049560547
2010-02-16,8.932915687561035,15.154949188232422,18.249961853027344,23.524473190307617
2010-02-17,8.985130310058594,15.243865966796875,18.57716941833496,23.705781936645508
2010-02-18,9.077113151550293,15.29235553741455,18.339778900146484,23.819107055664062
2010-02-19,9.129324913024902,15.332771301269531,18.349411010742188,23.819107055664062
2010-02-22,9.17905044555664,15.30852222442627,18.22108268737793,23.751108169555664
2010-02-23,9.04727840423584,15.130699157714844,17.893877029418945,23.524473190307617
2010-02-24,9.191479682922363,15.357019424438477,17.967662811279297,23.698219299316406
2010-02-25,9.20639705657959,15.373188018798828,17.935585021972656,23.713329315185547
2010-02-26,9.193963050842285,15.437846183776855,18.06389617919922,23.72089385986328
2010-03-01,9.27352523803711,15.591411590576172,19.013446807861328,23.947525024414062
2010-03-02,9.330711364746094,15.688408851623535,19.157804489135742,24.03062629699707
2010-03-03,9.315791130065918,15.68032169342041,18.72793960571289,23.932418823242188
2010-03-04,9.430152893066406,15.68032169342041,18.602832794189453,23.856870651245117
2010-03-05,9.56938648223877,15.841976165771484,18.93966293334961,24.18926239013672
2010-03-08,9.638994216918945,15.785396575927734,18.984577178955078,24.045726776123047
2010-03-09,9.631534576416016,15.785396575927734,19.135347366333008,24.03062629699707
2010-03-10,9.688722610473633,15.922805786132812,19.359907150268555,24.045726776123047
2010-03-11,9.738445281982422,16.027881622314453,19.536340713500977,24.234588623046875
2010-03-12,9.701149940490723,16.003631591796875,19.38878059387207,24.053279876708984
2010-03-15,9.698661804199219,16.044042587280273,19.661449432373047,24.211925506591797
2010-03-16,9.830432891845703,16.076372146606445,19.72561264038086,24.279918670654297
2010-03-17,9.964689254760742,16.157197952270508,19.64862060546875,24.287466049194336
2010-03-18,9.947283744812012,16.165279388427734,19.594085693359375,24.453664779663086
2010-03-19,9.857553482055664,16.076372146606445,19.494638442993164,24.444576263427734
2010-03-22,9.897433280944824,16.26228141784668,19.619747161865234,24.603750228881836
2010-03-23,9.964730262756348,16.448165893554688,19.905250549316406,24.725027084350586
2010-03-24,10.041996002197266,16.278438568115234,19.690322875976562,24.459728240966797
2010-03-25,10.004612922668457,16.165279388427734,19.523515701293945,24.36119842529297
2010-03-26,10.1342191696167,16.052120208740234,19.369529724121094,24.17927360534668
2010-03-29,10.213972091674805,16.229942321777344,19.46255874633789,24.436996459960938
2010-03-30,10.164127349853516,16.238037109375,19.3566951751709,24.436996459960938
2010-03-31,10.288751602172852,16.173362731933594,19.231586456298828,24.353614807128906
2010-04-01,10.383461952209473,16.26228141784668,19.391983032226562,24.490053176879883
2010-04-05,10.528019905090332,16.286521911621094,19.597291946411133,24.421838760375977
2010-04-06,10.533005714416504,16.294605255126953,19.587665557861328,24.40666961669922
2010-04-07,10.428324699401855,16.20569610595703,19.488216400146484,24.300561904907227
2010-04-08,10.498111724853516,16.141036987304688,19.616539001464844,24.20960235595703
2010-04-09,10.493128776550293,16.141036987304688,19.57803726196289,24.31572151184082
2010-04-12,10.525525093078613,16.14911651611328,19.53955078125,24.247499465942383
2010-04-13,10.53549575805664,16.173362731933594,19.536340713500977,24.270235061645508
